"old_url","new_path","kind","note"
"https://rempireshop.com/products/captain-fawcett-nebula-moustache-wax","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/captain-fawcett-ricki-hall-booze-baccy-beard-balm","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/captain-fawcett-sid-sottung-barberism%C2%AE-beard-balm","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/captain-fawcett-nebula-john-petrucci-beard-balm","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-muprhy-blonde-angel-wash","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-blonde-angel","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-angel-rinse","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-angel-wash","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-hydrate-me-rinse","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-muprhy-hydrate-me-wash","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-shimmer-me-blonde","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/dead-head-butterfly","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/davines-hair-beard-body-wash","/shop/p/davines-hair-beard-body-wash/","product",""
"https://rempireshop.com/products/davines-medium-hold-styling-paste","/shop/p/davines-medium-hold-styling-paste/","product",""
"https://rempireshop.com/products/davines-non-foaming-transparent-shaving-gel","/shop/p/davines-non-foaming-transparent-shaving-gel/","product",""
"https://rempireshop.com/products/davines-softening-shaving-gel","/shop/p/davines-softening-shaving-gel/","product",""
"https://rempireshop.com/products/davines-pre-shaving-beard-oil","/shop/p/davines-pre-shaving-beard-oil/","product",""
"https://rempireshop.com/products/davines-pasta-love-strong-hold-mat-clay","/shop/p/davines-pasta-love-strong-hold-mat-clay/","product",""
"https://rempireshop.com/products/kevin-muprhy-plumping-wash","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-muprhy-plumping-rinse","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-muprhy-shimmer-shine","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-young-again-wash","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-young-again-rinse","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-young-again-masque","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-young-again-oil","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-staying-alive-spray","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-smooth-again-rinse","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-smooth-again","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-hydrate-me-masque","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-everlasting-colour-wash","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-everlasting-colour-rinse","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-everlasting-colour-leave-in","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-body-mass","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-crystal-angel","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-blow-dry-rinse","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-blow-dry-wash","/shop/p/kevin-murphy-blow-dry-wash/","product",""
"https://rempireshop.com/products/kevin-murphy-full-again","/shop/p/kevin-murphy-full-again/","product",""
"https://rempireshop.com/products/kevin-murphy-un-tangled-spray","/shop/p/kevin-murphy-un-tangled-spray/","product",""
"https://rempireshop.com/products/kevin-murphy-session-spray-flex","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-session-spray","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/davines-the-renaissance-circle","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/davines-the-restless-circle","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/davines-the-spotlight-circle","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/davines-the-quick-fix-circle","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-angel-masque","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/davines-rebalancing-shampoo","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/davines-replumping-shampoo","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/davines-energizing-shampoo","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/davines-purifying-shampoo","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/davines-nourishing-shampoo","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/davines-calming-shampoo","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/davines-detoxifying-scrub-shampoo","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/davines-wellbeing-shampoo","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/davines-renewing-shampoo","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/young-again-dry-conditioner","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-fresh-hair-1","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/kevin-murphy-smooth-again-wash","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/cosrx-aloe-sun-cream","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/cosrx-advanced-snail-96-mucin-power-essence","/shop/p/cosrx-advanced-snail-96-mucin-power-essence/","product",""
"https://rempireshop.com/products/cosrx-advanced-snail-hydrogel-eye-patch-60pcs","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/cosrx-advanced-snail-92-all-in-one-cream","/shop/p/cosrx-advanced-snail-92-all-in-one-cream/","product",""
"https://rempireshop.com/products/anua-heartleaf-77-soothing-toner","/shop/p/anua-heartleaf-77-soothing-toner/","product",""
"https://rempireshop.com/products/laneige-cica-sleeping-mask","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/gummy-sheet-mask-madecassoside-sticker","/shop/p/gummy-sheet-mask-madecassoside-sticker/","product",""
"https://rempireshop.com/products/real-nature-green-tea-mask-sheet","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/gatsby-moving-rubber-wild-shake-15g","/shop/p/gatsby-moving-rubber-wild-shake-15g/","product",""
"https://rempireshop.com/products/gatsby-moving-rubber-hair-wax-80g","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/body-builder","/shop/p/body-builder/","product",""
"https://rempireshop.com/products/oversized-t-shirt-unisex","/shop/p/oversized-t-shirt-unisex/","product",""
"https://rempireshop.com/products/oversized-t-shirt-unisex-with-print","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/siim-hanikat-x-rempire","/shop/p/siim-hanikat-x-rempire/","product",""
"https://rempireshop.com/products/kevin-murphy-re-store","/shop/","product","product-not-in-v1"
"https://rempireshop.com/products/proraso-beard-oil-wood-spice-cedar-wood-citrus-fragrance-30ml","/shop/p/proraso-beard-oil-wood-spice-cedar-wood-citrus-fragrance-30ml/","product",""
